2022-09-20T09:35:23	-0.20 %
2022-09-20T09:35:41	-0.20 %
2022-09-20T09:35:57	-0.20 %
2022-09-20T09:36:13	-0.20 %
2022-09-20T09:36:30	-0.20 %
2022-09-20T09:36:46	-0.20 %
2022-09-20T09:37:02	-0.20 %
2022-09-20T09:37:19	-0.20 %
2022-09-20T09:37:36	-0.20 %
2022-09-20T09:37:52	-0.20 %
2022-09-20T09:38:09	-0.20 %
2022-09-20T09:38:27	-0.20 %
2022-09-20T09:38:43	-0.17 %
2022-09-20T09:38:59	-0.17 %
2022-09-20T09:39:16	-0.17 %
2022-09-20T09:39:34	-0.17 %
2022-09-20T09:39:56	-0.17 %
2022-09-20T09:40:13	-0.17 %
2022-09-20T09:40:29	-0.17 %
2022-09-20T09:40:45	-0.17 %
2022-09-20T09:41:03	-0.17 %
2022-09-20T09:41:19	-0.17 %
2022-09-20T09:41:35	-0.17 %
2022-09-20T09:41:52	-0.17 %
2022-09-20T09:42:09	-0.17 %
2022-09-20T09:42:25	-0.17 %
2022-09-20T09:42:42	-0.17 %
2022-09-20T09:42:58	-0.17 %
2022-09-20T09:43:14	-0.17 %
2022-09-20T09:43:31	-0.17 %
2022-09-20T09:43:49	-0.17 %
2022-09-20T09:44:05	-0.17 %
2022-09-20T09:44:21	-0.17 %
2022-09-20T09:44:37	-0.17 %
2022-09-20T09:44:54	-0.17 %
2022-09-20T09:45:11	-0.17 %
2022-09-20T09:45:27	-0.17 %
2022-09-20T09:45:44	-0.17 %
2022-09-20T09:46:01	-0.17 %
2022-09-20T14:19:33	-0.06 %
2022-09-20T14:19:49	-0.06 %
2022-09-20T14:20:05	-0.06 %
2022-09-20T14:20:22	-0.06 %
2022-09-20T14:20:38	-0.06 %
